transcript	description	eval	begin	end
MSTRG.1023.2	D-ribulose-5-phosphate 3-epimerase	0.0038	5	41
MSTRG.1023.3	D-ribulose-5-phosphate 3-epimerase	0.0038	5	41
MSTRG.1023.8	D-ribulose-5-phosphate 3-epimerase	1.81e-05	5	174
MSTRG.1023.9	D-ribulose-5-phosphate 3-epimerase	0.0059	5	38
MSTRG.10233.1	Ankyrin repeat	8.57e-05	108	358
MSTRG.10233.1	Ankyrin repeat	0.0012	336	478
MSTRG.10244.2	Serpins	0.00034	1	93
MSTRG.10246.1	Serpins	6.77e-10	3	417
MSTRG.10248.1	Tandem AAA-ATPase domain	0.038	25	91
MSTRG.10262.1	Poly(A) polymerase, PAP, middle domain	5.94e-08	215	363
MSTRG.10262.1	Poly(A) polymerase, PAP, N-terminal domain	9.8e-09	20	212
MSTRG.10262.1	Poly(A) polymerase, PAP, C-terminal domain	1.84e-07	366	497
MSTRG.10262.22	Poly(A) polymerase, PAP, C-terminal domain	2.96e-05	1	62
MSTRG.10262.23	Poly(A) polymerase, PAP, C-terminal domain	2.96e-05	1	62
MSTRG.10262.3	Poly(A) polymerase, PAP, N-terminal domain	9.8e-09	20	212
MSTRG.10262.3	Poly(A) polymerase, PAP, middle domain	3.11e-05	215	280
MSTRG.10262.8	Poly(A) polymerase, PAP, middle domain	5.94e-08	215	363
MSTRG.10262.8	Poly(A) polymerase, PAP, N-terminal domain	9.8e-09	20	212
MSTRG.10262.8	Poly(A) polymerase, PAP, C-terminal domain	1.84e-07	366	497
MSTRG.10266.3	Protein kinases, catalytic subunit	9.51e-05	31	341
MSTRG.10266.7	Protein kinases, catalytic subunit	9.51e-05	31	341
MSTRG.10267.1	Classic zinc finger, C2H2	0.012	714	763
MSTRG.10267.1	Classic zinc finger, C2H2	0.012	354	403
MSTRG.10267.1	Classic zinc finger, C2H2	0.024	752	796
MSTRG.10269.2	RuBisCo LSMT catalytic domain	0.00027	86	340
MSTRG.10269.2	RuBisCo LSMT C-terminal, substrate-binding domain	0.0012	344	527
MSTRG.10269.4	RuBisCo LSMT C-terminal, substrate-binding domain	0.0012	279	462
MSTRG.10269.4	RuBisCo LSMT catalytic domain	0.0017	79	275
MSTRG.10281.2	TolB, C-terminal domain	0.022	591	780
MSTRG.10281.2	Quinoprotein alcohol dehydrogenase-like	0.011	184	649
MSTRG.10281.6	Quinoprotein alcohol dehydrogenase-like	0.011	232	697
MSTRG.10281.6	TolB, C-terminal domain	0.022	649	828
MSTRG.10284.1	Enabled/VASP homology 1 domain (EVH1 domain)	2.06e-06	1	141
MSTRG.10284.1	Vasodilator-stimulated phosphoprotein, VASP, tetramerisation domain	0.0019	352	382
MSTRG.1035.1	Calmodulin-like	3.53e-05	3	90
MSTRG.10353.1	B56-like	7.09e-13	96	479
MSTRG.10368.2	Hsp90 middle domain	1.17e-08	293	548
MSTRG.10368.2	Heat shock protein 90, HSP90, N-terminal domain	7.26e-09	17	225
MSTRG.10368.2	HSP90 C-terminal domain	0.0018	571	693
MSTRG.10369.3	WD40-repeat	0.012	106	177
MSTRG.10369.3	WD40-repeat	0.012	209	318
MSTRG.10369.3	WD40-repeat	0.012	369	386
MSTRG.10369.5	WD40-repeat	0.012	101	181
MSTRG.10369.5	WD40-repeat	0.012	210	317
MSTRG.10369.5	WD40-repeat	0.012	368	407
MSTRG.10371.1	Protein kinases, catalytic subunit	0.013	1	39
MSTRG.10371.2	Protein kinases, catalytic subunit	2e-05	1	231
MSTRG.10371.3	Protein kinases, catalytic subunit	0.013	2	57
MSTRG.10371.7	Protein kinases, catalytic subunit	0.013	2	57
MSTRG.10378.2	WD40-repeat	0.017	39	201
MSTRG.1039.4	LanC-like	0.015	36	292
MSTRG.1039.5	LanC-like	0.015	36	277
MSTRG.1039.6	LanC-like	0.0064	36	376
MSTRG.10407.1	MIF4G domain-like	0.0098	234	384
MSTRG.10407.1	Translation initiation factor 2 beta, aIF2beta, N-terminal domain	0.003	3	99
MSTRG.10407.1	Zinc-binding domain of translation initiation factor 2 beta	0.0056	96	130
MSTRG.10407.2	MIF4G domain-like	0.0098	234	384
MSTRG.10407.2	Translation initiation factor 2 beta, aIF2beta, N-terminal domain	0.003	3	99
MSTRG.10407.2	Zinc-binding domain of translation initiation factor 2 beta	0.0056	96	130
MSTRG.10407.3	MIF4G domain-like	0.0098	234	384
MSTRG.10407.3	Translation initiation factor 2 beta, aIF2beta, N-terminal domain	0.003	3	99
MSTRG.10407.3	Zinc-binding domain of translation initiation factor 2 beta	0.0056	96	130
MSTRG.10413.7	Protein kinases, catalytic subunit	1.07e-05	53	308
MSTRG.10413.7	Kinase associated domain 1, KA1	2.76e-06	671	781
MSTRG.10416.1	Guanido kinase catalytic domain	3.95e-10	105	344
MSTRG.10416.1	Guanido kinase N-terminal domain	2.45e-06	7	107
MSTRG.10416.2	Guanido kinase catalytic domain	5.79e-11	76	351
MSTRG.10416.2	Guanido kinase N-terminal domain	1.3e-05	1	78
MSTRG.10416.5	Guanido kinase catalytic domain	2.87e-10	105	351
MSTRG.10416.5	Guanido kinase N-terminal domain	2.45e-06	7	107
MSTRG.10417.1	tRNA(1-methyladenosine) methyltransferase-like	0.00018	9	287
MSTRG.10419.1	BAG domain	5e-04	361	446
MSTRG.10419.1	BAG domain	0.0023	156	263
MSTRG.10419.1	BAG domain	0.0036	269	349
MSTRG.10419.1	BAG domain	4.18e-06	1	90
MSTRG.10419.3	BAG domain	5e-04	361	446
MSTRG.10419.3	BAG domain	0.0023	156	263
MSTRG.10419.3	BAG domain	0.0036	269	349
MSTRG.10419.3	BAG domain	4.18e-06	1	90
MSTRG.10422.1	Tetratricopeptide repeat (TPR)	0.016	202	266
MSTRG.10422.10	Tetratricopeptide repeat (TPR)	0.016	202	266
MSTRG.10422.11	Tetratricopeptide repeat (TPR)	0.016	202	266
MSTRG.10422.12	Tetratricopeptide repeat (TPR)	0.01	202	289
MSTRG.10422.12	Tetratricopeptide repeat (TPR)	0.0034	271	421
MSTRG.10422.12	Tetratricopeptide repeat (TPR)	0.0034	450	496
MSTRG.10422.2	Tetratricopeptide repeat (TPR)	0.0049	289	408
MSTRG.10422.2	Tetratricopeptide repeat (TPR)	0.0049	458	481
MSTRG.10422.2	Tetratricopeptide repeat (TPR)	0.016	213	326
MSTRG.10422.3	Tetratricopeptide repeat (TPR)	0.0049	289	408
MSTRG.10422.3	Tetratricopeptide repeat (TPR)	0.0049	458	481
MSTRG.10422.3	Tetratricopeptide repeat (TPR)	0.018	213	326
MSTRG.10422.4	Tetratricopeptide repeat (TPR)	0.016	202	263
MSTRG.10422.5	Tetratricopeptide repeat (TPR)	0.0049	288	408
MSTRG.10422.5	Tetratricopeptide repeat (TPR)	0.0049	458	481
MSTRG.10422.5	Tetratricopeptide repeat (TPR)	0.016	213	326
MSTRG.10424.2	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0021	39	111
MSTRG.10424.3	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0021	39	111
MSTRG.10424.4	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0021	39	111
MSTRG.10424.7	FYVE, a phosphatidylinositol-3-phosphate binding domain	0.0021	39	111
MSTRG.10436.1	Formin homology 2 domain (FH2 domain)	9.17e-06	600	971
MSTRG.10436.1	Diap1 N-terninal region-like	0.00014	7	327
MSTRG.10436.5	Diap1 N-terninal region-like	0.00014	7	327
MSTRG.10436.7	Formin homology 2 domain (FH2 domain)	2.18e-05	1	293
MSTRG.10436.8	Formin homology 2 domain (FH2 domain)	2.18e-05	1	293
MSTRG.10436.9	Nitrogenase iron protein-like	4.73e-08	32	188
MSTRG.1044.1	L domain	1.48e-05	47	207
MSTRG.1044.1	Protein kinases, catalytic subunit	4.65e-10	705	997
MSTRG.1044.1	L domain	1.97e-06	325	517
MSTRG.1044.1	Growth factor receptor domain	3.23e-06	502	633
MSTRG.1044.1	Growth factor receptor domain	4.77e-07	186	331
MSTRG.10449.1	EGF-type module	0.0069	100	142
MSTRG.10449.1	EGF-type module	0.0077	2	42
MSTRG.10449.1	EGF-type module	0.012	179	213
MSTRG.10449.1	EGF-type module	0.012	138	175
MSTRG.10449.1	Growth factor receptor domain	0.0086	202	328
MSTRG.10453.1	Transcription factor IIB (TFIIB), core domain	0.012	86	149
MSTRG.10453.1	Transcriptional factor domain	0.0089	4	49
MSTRG.10453.2	Transcriptional factor domain	0.0089	3	49
MSTRG.10453.3	Transcription factor IIB (TFIIB), core domain	0.012	86	149
MSTRG.10453.3	Transcriptional factor domain	0.0089	4	49
MSTRG.10453.4	Transcription factor IIB (TFIIB), core domain	0.0048	34	136
MSTRG.10453.5	Transcription factor IIB (TFIIB), core domain	0.012	86	149
MSTRG.10453.5	Transcriptional factor domain	0.0089	4	49
MSTRG.10453.6	Transcription factor IIB (TFIIB), core domain	0.0048	66	168
MSTRG.10453.6	Transcription factor IIB (TFIIB), core domain	0.005	1	64
MSTRG.10453.8	Transcription factor IIB (TFIIB), core domain	0.012	86	149
MSTRG.10453.8	Transcriptional factor domain	0.0089	4	49
MSTRG.10463.1	Myb/SANT domain	0.00012	286	338
MSTRG.10465.3	LIM domain	0.0011	28	76
MSTRG.10465.3	LIM domain	0.0069	2	27
MSTRG.10466.2	LIM domain	0.00017	30	75
MSTRG.10466.2	LIM domain	0.0037	2	29
MSTRG.10471.1	C1 set domains (antibody constant domain-like)	1.37e-05	7	88
MSTRG.10471.1	C1 set domains (antibody constant domain-like)	2.91e-05	91	188
MSTRG.10487.3	KRAB domain (Kruppel-associated box)	0.0012	4	53
MSTRG.10499.10	PLC-like (P variant)	0.09	2	108
MSTRG.10499.11	Synaptotagmin-like (S variant)	0.0026	222	331
MSTRG.10499.11	PLC-like (P variant)	0.09	2	108
MSTRG.10499.2	Synaptotagmin-like (S variant)	0.093	513	629
MSTRG.10499.2	PLC-like (P variant)	0.013	306	430
MSTRG.10499.2	Synaptotagmin-like (S variant)	0.0024	743	870
MSTRG.10506.4	Higher-molecular-weight phosphotyrosine protein phosphatases	3.55e-05	708	932
MSTRG.10506.5	Higher-molecular-weight phosphotyrosine protein phosphatases	0.00083	708	820
MSTRG.10506.8	Higher-molecular-weight phosphotyrosine protein phosphatases	4.44e-05	49	254
MSTRG.10512.2	DEP domain	0.00031	138	256
MSTRG.10512.2	Ras GEF	0.014	405	470
MSTRG.10512.5	Ras GEF	0.00013	95	257
MSTRG.10512.5	Ras GEF	0.00013	358	611
MSTRG.10512.5	Ras-binding domain, RBD	1.12e-05	265	367
MSTRG.10522.3	Classic zinc finger, C2H2	0.0019	656	698
MSTRG.10529.1	Integrin A (or I) domain	6.35e-07	143	382
MSTRG.10529.1	Plexin repeat	0.0013	45	100
MSTRG.10529.3	Integrin beta EGF-like domains	0.0046	155	194
MSTRG.10529.3	Integrin beta EGF-like domains	0.049	111	149
MSTRG.10529.3	Integrin domains	0.0068	10	38
MSTRG.10546.2	GDI-like N domain	5.48e-10	1	345
MSTRG.10546.2	GDI-like N domain	0.00092	379	424
MSTRG.10550.5	Ankyrin repeat	0.0021	18	79
MSTRG.10569.3	Aldo-keto reductases (NADP)	6.97e-09	3	292
MSTRG.10580.1	Classic zinc finger, C2H2	0.009	232	264
MSTRG.10583.1	MPP-like	0.00012	299	561
MSTRG.10583.1	MPP-like	0.00057	852	1022
MSTRG.10583.1	MPP-like	1.04e-06	43	281
MSTRG.10583.1	MPP-like	3e-04	559	812
MSTRG.10583.5	MPP-like	1.04e-06	43	281
MSTRG.10584.1	Phosphofructokinase	2.65e-07	11	357
MSTRG.10584.1	Phosphofructokinase	6.8e-05	348	560
MSTRG.10584.4	Phosphofructokinase	2.65e-07	11	357
MSTRG.10584.4	Phosphofructokinase	7.61e-05	348	720
MSTRG.10587.1	Double-stranded RNA-binding domain (dsRBD)	9.06e-05	118	191
MSTRG.10587.1	Double-stranded RNA-binding domain (dsRBD)	0.00028	281	351
MSTRG.10587.3	Double-stranded RNA-binding domain (dsRBD)	9.06e-05	118	191
MSTRG.10587.3	Double-stranded RNA-binding domain (dsRBD)	0.00028	281	350
MSTRG.10587.4	Double-stranded RNA-binding domain (dsRBD)	9.06e-05	118	191
MSTRG.10587.4	Double-stranded RNA-binding domain (dsRBD)	0.00028	281	350
MSTRG.10594.1	WD40-repeat	0.00049	148	228
MSTRG.10594.1	WD40-repeat	0.00049	267	486
MSTRG.10644.1	PWWP domain	0.0078	270	392
MSTRG.10644.1	Bromodomain	0.0026	134	263
MSTRG.10644.1	PHD domain	0.017	86	152
MSTRG.10644.2	PWWP domain	0.0078	270	392
MSTRG.10644.2	Bromodomain	0.0026	134	263
MSTRG.10644.2	PHD domain	0.017	86	152
MSTRG.10644.2	MYND zinc finger	0.013	557	600
MSTRG.10644.4	PHD domain	0.017	86	152
MSTRG.10668.3	MIR domain	0.0017	223	400
MSTRG.10668.3	MIR domain	0.021	107	188
MSTRG.10668.3	SPRY domain	0.052	665	813
MSTRG.10668.3	SPRY domain	0.029	1087	1200
MSTRG.10668.3	IP3 receptor type 1 binding core, domain 2	0.02	441	554
MSTRG.10668.3	IP3 receptor type 1 binding core, domain 2	0.023	2152	2217
MSTRG.10683.1	Armadillo repeat	0.052	55	123
MSTRG.10683.1	Armadillo repeat	0.052	187	309
MSTRG.10685.1	Galectin (animal S-lectin)	0.00016	11	150
MSTRG.10685.1	Galectin (animal S-lectin)	0.00022	191	323
MSTRG.10707.1	Transducin (heterotrimeric G protein), gamma chain	9.42e-05	8	69
MSTRG.10717.18	Isoprenyl diphosphate synthases	8.92e-11	9	293
MSTRG.10717.19	Isoprenyl diphosphate synthases	1.44e-09	9	230
MSTRG.10717.2	Cap-Gly domain	0.00061	9	142
MSTRG.10717.2	mRNA export factor tap	0.037	123	190
MSTRG.10717.20	Isoprenyl diphosphate synthases	1.44e-09	9	230
MSTRG.10717.21	Isoprenyl diphosphate synthases	8.92e-11	9	293
MSTRG.10717.22	Isoprenyl diphosphate synthases	8.92e-11	9	293
MSTRG.10717.23	Isoprenyl diphosphate synthases	8.92e-11	9	293
MSTRG.10717.3	Cap-Gly domain	0.00061	9	142
MSTRG.10717.3	mRNA export factor tap	0.037	123	190
MSTRG.10717.6	Isoprenyl diphosphate synthases	1.44e-09	9	230
MSTRG.10717.9	Cap-Gly domain	0.00061	9	142
MSTRG.10717.9	mRNA export factor tap	0.039	124	186
MSTRG.10719.2	Tudor domain	0.017	59	113
MSTRG.10719.2	PWWP domain	0.062	191	290
MSTRG.10719.8	ARID domain	4e-04	305	406
MSTRG.10719.8	Tudor domain	0.017	59	113
MSTRG.10719.8	Chromo barrel domain	0.037	558	614
MSTRG.10719.8	PWWP domain	0.062	191	293
MSTRG.10723.8	Synaptotagmin-like (S variant)	0.083	212	267
MSTRG.10728.1	Proteasome subunits	7.83e-06	5	88
MSTRG.10748.2	Transforming growth factor (TGF)-beta	4.09e-07	312	423
MSTRG.10752.2	CoA-transferase family III (CaiB/BaiF)	7.49e-06	1	350
MSTRG.10791.1	WD40-repeat	0.021	44	245
MSTRG.10813.7	Pleckstrin-homology domain (PH domain)	0.026	68	193
MSTRG.10832.1	Classic zinc finger, C2H2	0.0066	277	334
MSTRG.10832.1	Classic zinc finger, C2H2	0.0067	440	492
MSTRG.10832.1	Classic zinc finger, C2H2	0.0099	361	418
MSTRG.10832.1	Classic zinc finger, C2H2	0.01	324	356
MSTRG.10832.1	SCAN domain	4.9e-05	40	130
MSTRG.10835.1	SCAN domain	4.62e-05	44	135
MSTRG.10835.1	KRAB domain (Kruppel-associated box)	0.0074	209	253
MSTRG.10835.10	SCAN domain	4.62e-05	44	135
MSTRG.10835.2	SCAN domain	4.62e-05	44	135
MSTRG.10835.2	KRAB domain (Kruppel-associated box)	0.0074	209	253
MSTRG.10835.3	Classic zinc finger, C2H2	0.0031	349	406
MSTRG.10835.3	Classic zinc finger, C2H2	0.0042	395	447
MSTRG.10835.3	Classic zinc finger, C2H2	0.0047	311	363
MSTRG.10835.3	Classic zinc finger, C2H2	0.0078	479	529
MSTRG.10835.3	SCAN domain	4.62e-05	44	135
MSTRG.10840.3	Classic zinc finger, C2H2	0.0031	268	320
MSTRG.10840.3	Classic zinc finger, C2H2	0.012	408	460
MSTRG.10840.3	Classic zinc finger, C2H2	0.0083	306	363
MSTRG.10840.3	Classic zinc finger, C2H2	0.007	362	419
MSTRG.10840.3	SCAN domain	0.00011	36	126
MSTRG.10843.2	SCAN domain	4.96e-05	44	135
MSTRG.10847.2	SCAN domain	5.36e-05	46	133
MSTRG.10847.2	KRAB domain (Kruppel-associated box)	0.0037	224	273
MSTRG.10868.2	Nucleosome core histones	2.89e-06	8	125
MSTRG.10868.4	Nucleosome core histones	2.54e-06	8	126
MSTRG.10869.1	Nucleosome core histones	2.54e-06	8	126
MSTRG.10869.3	Nucleosome core histones	2.73e-06	8	125
MSTRG.10923.1	Nucleosome core histones	2.71e-06	4	128
MSTRG.1094.1	Tyrosine-dependent oxidoreductases	0.00027	10	86
MSTRG.10950.9	28-residue LRR	0.068	81	175
MSTRG.10952.3	Armadillo repeat	0.086	902	1007
MSTRG.10959.1	PaaI/YdiI-like	3.14e-06	11	118
MSTRG.10968.1	Integrin alpha N-terminal domain	0.0011	370	807
MSTRG.1097.3	C-terminal domain of Ku80	1.77e-05	1	77
MSTRG.10970.1	Doublecortin (DC)	0.00093	3	108
MSTRG.10970.1	Doublecortin (DC)	0.0038	125	228
MSTRG.1100.1	Tandem AAA-ATPase domain	0.0017	394	575
MSTRG.1101.1	Ribosomal protein L37ae	0.011	10	49
MSTRG.1101.2	Ribosomal protein L37ae	0.011	10	49
MSTRG.11011.2	Rieske iron-sulfur protein (ISP)	6.25e-07	125	262
MSTRG.11011.2	ISP transmembrane anchor	2.75e-05	71	137
MSTRG.11011.2	Ubiquinol-cytochrome c reductase 8 kDa protein	9.68e-05	1	57
MSTRG.11015.3	Other IPT/TIG domains	7.14e-06	5	93
MSTRG.11029.1	Tyrosine-dependent oxidoreductases	4.54e-08	24	217
MSTRG.11029.4	Tyrosine-dependent oxidoreductases	9.46e-09	24	218
MSTRG.11029.5	Tyrosine-dependent oxidoreductases	7.14e-06	24	114
MSTRG.11047.1	Serpins	6.85e-09	2	378
MSTRG.11047.2	Serpins	6.85e-09	19	399
MSTRG.11049.6	Quinone reductase	3.69e-05	1	75
MSTRG.11050.2	Protein kinases, catalytic subunit	0.0013	6	155
MSTRG.11053.1	Tubulin, GTPase domain	0.0024	1	20
MSTRG.11053.2	Tubulin, GTPase domain	2.52e-10	1	243
MSTRG.11053.2	Tubulin, C-terminal domain	5.16e-06	244	326
MSTRG.11069.2	Protein kinases, catalytic subunit	1.94e-05	674	1005
MSTRG.11069.3	Protein kinases, catalytic subunit	0.00013	674	861
MSTRG.11069.4	Protein kinases, catalytic subunit	1.94e-05	674	1005
MSTRG.11082.4	Crotonase-like	8.64e-09	313	556
MSTRG.11082.4	Chromo domain	0.00011	21	87
MSTRG.11098.3	Class II aminoacyl-tRNA synthetase (aaRS)-like, catalytic domain	4.89e-05	73	206
MSTRG.11098.3	Class II aminoacyl-tRNA synthetase (aaRS)-like, catalytic domain	4.89e-05	242	343
MSTRG.11098.3	Anticodon-binding domain of PheRS	0.0049	353	407
MSTRG.11098.5	Class II aminoacyl-tRNA synthetase (aaRS)-like, catalytic domain	9e-04	73	202
MSTRG.11131.1	CHHC finger	0.0017	53	85
MSTRG.11131.2	CHHC finger	0.0017	53	85
MSTRG.1114.15	PLC-like (P variant)	0.0027	200	327
MSTRG.1114.15	Dual specificity phosphatase-like	0.00012	34	198
MSTRG.1114.2	Phosphotyrosine-binding domain (PTB)	4.25e-07	476	618
MSTRG.1114.2	SH2 domain	0.0022	324	467
MSTRG.1114.6	Phosphotyrosine-binding domain (PTB)	4.25e-07	1590	1732
MSTRG.1114.6	PLC-like (P variant)	0.0027	200	327
MSTRG.1114.6	Dual specificity phosphatase-like	0.00012	34	198
MSTRG.1114.6	SH2 domain	0.0022	1438	1581
MSTRG.11142.1	Glutathione S-transferase (GST), C-terminal domain	0.067	44	127
MSTRG.1118.1	Rhodopsin-like	0.0049	15	313
MSTRG.112.2	JAB1/MPN domain	0.012	38	171
MSTRG.11207.2	Ypt/Rab-GAP domain of gyp1p	0.016	175	268
MSTRG.11207.2	Ypt/Rab-GAP domain of gyp1p	0.0056	31	89
MSTRG.11214.6	Sir2 family of transcriptional regulators	6.02e-10	38	299
MSTRG.11241.18	ARID domain	0.004	1	46
MSTRG.11260.1	AXH domain	3.11e-07	539	663
MSTRG.11272.3	N-terminal domain of adenylylcyclase associated protein, CAP	0.00038	45	150
MSTRG.11272.6	C-terminal domain of adenylylcyclase associated protein	3e-04	1	46
MSTRG.11279.1	Motor proteins	1.86e-08	9	323
MSTRG.11279.1	FHA domain	0.00058	381	481
MSTRG.11294.1	Thiopurine S-methyltransferase	4.24e-08	13	207
MSTRG.11294.4	Thiopurine S-methyltransferase	8.03e-09	13	239
MSTRG.11294.6	Thiopurine S-methyltransferase	8.03e-09	13	239
MSTRG.11330.1	Protein kinases, catalytic subunit	1.07e-09	200	454
MSTRG.11330.1	Protein kinases, catalytic subunit	1.07e-09	675	762
MSTRG.11347.1	Ngr ectodomain-like	0.0014	227	392
MSTRG.11348.1	Ngr ectodomain-like	1.84e-07	67	350
MSTRG.11350.1	Ngr ectodomain-like	0.017	90	290
MSTRG.11350.2	Ngr ectodomain-like	0.017	90	290
MSTRG.11351.1	Canonical RBD	0.0097	18	106
MSTRG.11352.2	Class I aminoacyl-tRNA synthetases (RS), catalytic domain	2.14e-08	5	198
MSTRG.11352.2	Class I aminoacyl-tRNA synthetases (RS), catalytic domain	2.14e-08	397	594
MSTRG.11352.2	ValRS/IleRS/LeuRS editing domain	3.59e-05	199	397
MSTRG.11363.1	F-box domain	0.004	7	43
MSTRG.11363.6	F-box domain	0.003	9	100
MSTRG.11363.6	Quinoprotein alcohol dehydrogenase-like	0.039	90	255
MSTRG.11363.7	F-box domain	0.003	9	100
MSTRG.11363.7	Quinoprotein alcohol dehydrogenase-like	0.036	90	253
MSTRG.11369.2	Glutathione peroxidase-like	0.0019	9	126
MSTRG.1138.1	Pleckstrin-homology domain (PH domain)	0.00039	10	123
MSTRG.11382.1	Cell cycle regulatory proteins	6.92e-06	1	77
MSTRG.11384.5	Sema domain	6.87e-12	27	373
MSTRG.11394.12	Crotonase-like	9.48e-05	58	114
MSTRG.11395.1	Leucine zipper domain	0.003	70	128
MSTRG.1141.2	Extended AAA-ATPase domain	0.0021	174	404
MSTRG.11414.1	Rhodopsin-like	0.00041	5	321
MSTRG.11416.3	SNARE fusion complex	0.00034	32	72
MSTRG.1142.3	RWD domain	0.00011	16	71
MSTRG.1142.4	RWD domain	4.96e-06	16	120
MSTRG.11420.1	Nucleoporin domain	0.047	28	262
MSTRG.11420.3	Nucleoporin domain	0.047	27	178
MSTRG.11431.1	G proteins	0.00041	77	212
MSTRG.11444.1	Synuclein	1.04e-05	1	133
MSTRG.11444.2	Synuclein	1.04e-05	1	133
MSTRG.11444.3	Synuclein	1.04e-05	1	133
MSTRG.11444.5	Synuclein	0.00015	1	53
MSTRG.11444.6	Synuclein	0.00015	1	53
MSTRG.11445.3	Tetraspanin	0.012	115	235
MSTRG.11452.1	HkH motif-containing C2H2 finger	0.00059	44	111
MSTRG.11452.3	HkH motif-containing C2H2 finger	0.00059	44	111
MSTRG.11460.18	PWWP domain	5.03e-05	93	180
MSTRG.11460.18	PHD domain	0.003	37	106
MSTRG.11460.20	PWWP domain	0.0013	4	52
MSTRG.11460.5	PWWP domain	0.0084	318	412
MSTRG.11460.7	PWWP domain	0.0084	318	412
MSTRG.11460.8	PWWP domain	0.0084	318	412
MSTRG.11474.2	Protein kinases, catalytic subunit	2.46e-07	184	526
MSTRG.11474.2	Regulator of G-protein signaling, RGS	0.0016	31	181
MSTRG.1148.1	Cytochrome P450	0.01	59	283
MSTRG.11480.10	PDZ domain	0.00056	7	86
MSTRG.11480.11	PDZ domain	0.00056	7	86
MSTRG.11480.12	PDZ domain	0.00056	7	86
MSTRG.11480.2	PDZ domain	0.00056	7	86
MSTRG.11480.3	PDZ domain	0.00056	7	87
MSTRG.11480.4	PDZ domain	0.00056	7	86
MSTRG.11480.8	PDZ domain	0.00056	7	86
MSTRG.11480.9	PDZ domain	0.00056	7	86
MSTRG.11481.2	Tandem AAA-ATPase domain	5.39e-05	175	410
MSTRG.11481.2	Tandem AAA-ATPase domain	0.00098	350	577
MSTRG.11481.5	Tandem AAA-ATPase domain	5.39e-05	175	410
MSTRG.11481.5	Tandem AAA-ATPase domain	0.00098	350	577
MSTRG.11485.5	beta 1,4 galactosyltransferase (b4GalT1)	0.00043	46	213
MSTRG.11488.1	Tandem AAA-ATPase domain	1e-04	300	510
MSTRG.11488.5	Tandem AAA-ATPase domain	1e-04	300	510
MSTRG.11491.1	Thioltransferase	0.059	174	276
MSTRG.11491.6	PCD-like	0.00015	38	80
MSTRG.11491.7	Voltage-gated potassium channels	0.023	85	213
MSTRG.11491.7	PCD-like	0.00015	38	79
MSTRG.11491.8	PCD-like	3.93e-05	34	89
MSTRG.11497.1	Macro domain	1.08e-08	179	367
MSTRG.11497.1	Nucleosome core histones	5.38e-06	12	117
MSTRG.11497.2	Nucleosome core histones	5.38e-06	12	117
MSTRG.11497.4	Macro domain	1.11e-08	179	364
MSTRG.11497.4	Nucleosome core histones	5.38e-06	12	117
MSTRG.11497.5	Nucleosome core histones	5.38e-06	12	117
MSTRG.11497.5	Macro domain	0.00014	179	229
MSTRG.115.7	Sec7 domain	1.61e-06	686	881
MSTRG.115.7	Exportin HEAT-like repeat	0.09	95	207
MSTRG.115.7	Exportin HEAT-like repeat	0.09	321	339
MSTRG.115.7	Exportin HEAT-like repeat	0.09	407	625
MSTRG.11500.1	Interleukin 8-like chemokines	0.0016	7	88
MSTRG.11500.2	Interleukin 8-like chemokines	0.0016	7	88
MSTRG.11500.3	Interleukin 8-like chemokines	0.0016	7	88
MSTRG.11506.2	SMAD domain	5.48e-08	231	418
MSTRG.11506.2	SMAD MH1 domain	2.39e-06	14	132
MSTRG.11506.6	SMAD domain	4.58e-09	134	332
MSTRG.11506.6	SMAD MH1 domain	2.39e-06	14	132
